Observer,Transect_number,Observer_Transect_number,PointID,Date,latitude,longitude,Location,BAWA_pre_abs,Elevation,LiveM,LiveY,DiscM,DiscY,Snags,Tree_height_average,Girth_average,Understorey_category,Understorey_height_category,Thatch_palm_height_category,Wind_damage,Fire_disturbance
MG,50,27,27D,19/05/2018,26.63731153,-78.47384331,LE,1,9,20,0,3,2,0,10,45,2,1,1,0,3
DP,51,28,28A,20/05/2018,26.67195443,-78.16761903,EE,1,6,3,9,0,0,0,12,56,3,1,2,0,2
DP,51,28,28B,20/05/2018,26.67346373,-78.16852761,EE,1,6,8,4,0,0,1,12,52,3,1,1,1,2
DP,51,28,28C,20/05/2018,26.6731073,-78.16547234,EE,1,6,10,6,0,0,1,13,62,3,1,1,0,2
DP,51,28,28D,20/05/2018,26.67453333,-78.16686667,EE,1,6,6,0,0,1,1,10,50,3,1,2,2,3
MG,52,28,28A,20/05/2018,26.67568849,-78.16536354,EE,0,8,21,1,0,0,0,10,56,4,2,2,0,2
MG,52,28,28B,20/05/2018,26.67414291,-78.16416021,EE,0,7,17,0,0,0,4,14,58,3,1,1,0,2
MG,52,28,28C,20/05/2018,26.67738374,-78.16221066,EE,0,8,17,3,0,0,0,10,53,4,2,2,0,1
MG,52,28,28D,20/05/2018,26.6759698,-78.16134574,EE,0,4,16,2,0,0,1,13,54,4,2,2,0,2
DP,53,29,29A,21/05/2018,26.64143333,-78.40683333,LE,0,6,7,1,0,0,0,11,39,3,2,1,0,1
DP,53,29,29B,21/05/2018,26.63978333,-78.40601667,LE,1,6,16,1,1,0,2,16,53,3,1,1,1,2
DP,53,29,29C,21/05/2018,26.6403,-78.40433333,LE,1,7,5,2,0,0,2,12,48,3,1,2,0,2
DP,53,29,29D,21/05/2018,26.64198333,-78.4051,LE,0,7,5,2,0,0,0,12,65,3,1,2,1,3
MG,54,29,29A,21/05/2018,26.64093333,-78.40848333,LE,1,12,24,0,0,0,1,14,44,3,2,1,0,2
MG,54,29,29B,21/05/2018,26.63921667,-78.4078,LE,1,11,29,0,1,0,0,13,32,3,2,1,1,2
MG,54,29,29C,21/05/2018,26.64026667,-78.41035,LE,0,10,22,2,0,0,1,10,43,3,1,2,0,2
